Irradiances,Clear Sky,Clear Sky,Clear Sky,Total,Clearness,Net,PV,Solar,Sun,Sun,Vector,,vCumulativeRadiationArray,,,
,Direct,Diffuse,Reflected,Clear Sky,Index,Radiation,Output,Angle,Elevation,Azimuth,Dot Product,,Column 1,Column 2,Column 3,Column 4
Minute,,,,,,,,,,,,,,,,
1,0,0,0,0,1,0,0,170.06554043836385,-59.468146515672494,-174.74698347872652,-0.9850057441916835,,0,0,,3.83914638355391
2,0,0,0,0,1,0,0,170.12845395911785,-59.48118292052155,-175.19924337158062,-0.9851945872910269,,0,0,,3.8317841717715817
3,0,0,0,0,0.99,0,0,170.18604388914108,-59.493048703117225,-175.65179497060336,-0.9853664096068692,,0,0,,3.8246719599892534
4,0,0,0,0,0.99,0,0,170.2382158981713,-59.503742403278764,-176.10461114880692,-0.9855212078679608,,0,0,,3.817559748206925
5,0,0,0,0,0.96,0,0,170.28488260070185,-59.513262703152456,-176.55766465346605,-0.9856589791271664,,0,0,,3.8111975364245967
6,0,0,0,0,0.95,0,0,170.32596423627498,-59.52160842796616,-177.01092811883103,-0.9857797207615193,,0,0,,3.8050853246422682
7,0,0,0,0,0.57,0,0,170.36138931262053,-59.528778546703535,-177.46437407897167,-0.9858834304722732,,0,0,,3.80847311285994
8,0,0,0,0,0.57,0,0,170.39109520029228,-59.53477217269684,-177.91797498073876,-0.9859701062849446,,0,0,,3.8118609010776114
9,0,0,0,0,0.49,0,0,170.4150286678091,-59.53958856413783,-178.37170319682713,-0.986039746549351,,0,0,,3.817248689295283
10,0,0,0,0,0.58,0,0,170.43314634700326,-59.543227124505556,-178.82553103892621,-0.9860923499396421,,0,0,,3.8203864775129546
11,0,0,0,0,1,0,0,170.44541511932238,-59.545687402911106,-179.27943077094187,-0.9861279154543251,,0,0,,3.8130242657306264
12,0,0,0,0,1,0,0,170.45181241519236,-59.546969094358104,-179.73337462227494,-0.9861464424162841,,0,0,,3.805662053948298
13,0,0,0,0,1,0,0,170.4523264201963,-59.54707203991934,179.81266519886069,-0.9861479304727926,,0,0,,3.79829984216597
14,0,0,0,0,1,0,0,170.44695618370636,-59.545996226828585,179.35871649209318,-0.9861323795955205,,0,0,,3.7909376303836417
15,0,0,0,0,1,0,0,170.4357116276446,-59.54374178848812,178.9048070515406,-0.9860997900805335,,0,0,,3.7835754186013135
16,0,0,0,0,1,0,0,170.4186134551883,-59.54030900439147,178.45096465246348,-0.9860501625482889,,0,0,,3.7762132068189853
17,0,0,0,0,1,0,0,170.39569296137046,-59.53569829996168,177.99721703794154,-0.9859834979436234,,0,0,,3.768850995036657
18,0,0,0,0,1,0,0,170.3669917495931,-59.52991024630528,177.5435919055861,-0.985899797535735,,0,0,,3.761488783254329
19,0,0,0,0,1,0,0,170.33256135998437,-59.522945559882466,177.09011689430793,-0.9857990629181588,,0,0,,3.7541265714720007
20,0,0,0,0,1,0,0,170.2924628172247,-59.51480510209352,176.63681957115287,-0.9856812960087368,,0,0,,3.7467643596896725
21,0,0,0,0,1,0,0,170.24676610687902,-59.50548987878261,176.18372741822262,-0.9855464990495809,,0,0,,3.7394021479073443
22,0,0,0,0,1,0,0,170.19554959037447,-59.495001039659044,175.7308678196942,-0.9853946746070313,,0,0,,3.732039936125016
23,0,0,0,0,1,0,0,170.13889936952143,-59.48333987763736,175.27826804895446,-0.9852258255716062,,0,0,,3.724677724342688
24,0,0,0,0,1,0,0,170.07690861188675,-59.47050782809657,174.82595525586316,-0.9850399551579481,,0,0,,3.7173155125603596
25,0,0,0,0,1,0,0,170.0096768484048,-59.45650646806013,174.3739564541602,-0.9848370669047614,,0,0,,3.7099533007780314
26,0,0,0,0,1,0,0,169.9373092543772,-59.44133751529707,173.92229850902962,-0.9846171646747465,,0,0,,3.702591088995703
27,0,0,0,0,1,0,0,169.85991592449764,-59.425002827346425,173.47100812483515,-0.9843802526545244,,0,0,,3.695228877213375
28,0,0,0,0,1,0,0,169.77761115179544,-59.40750440046512,173.0201118330413,-0.9841263353545588,,0,0,,3.687866665431047
29,0,0,0,0,1,0,0,169.69051271946304,-59.38884436850185,172.56963598033073,-0.9838554176090688,,0,0,,3.6805044536487186
30,0,0,0,0,1,0,0,169.59874121347386,-59.36902500169745,172.11960671693325,-0.9835675045759381,,0,0,,3.6731422418663904
31,0,0,0,0,0.96,0,0,169.50241936275435,-59.3480487054142,171.6700499851758,-0.9832626017366155,,0,0,,3.666780030084062
32,0,0,0,0,0.52,0,0,169.40167141250018,-59.32591801879506,171.22099150826844,-0.9829407148960115,,0,0,,3.671417818301734
33,0,0,0,0,0.52,0,0,169.29662253505228,-59.30263561335491,170.77245677933342,-0.982601850182388,,0,0,,3.6760556065194057
34,0,0,0,0,0.58,0,0,169.18739828162228,-59.27820429150569,170.3244710506919,-0.9822460140472404,,0,0,,3.6791933947370774
35,0,0,0,0,0.67,0,0,169.07412407709674,-59.25262698501703,169.87705932341575,-0.9818732132651756,,0,0,,3.680081182954749
36,0,0,0,0,0.69,0,0,168.95692475918008,-59.225906753414506,169.43024633715592,-0.9814834549337836,,0,0,,3.6804689711724206
37,0,0,0,0,0.68,0,0,168.83592416227052,-59.198046782317874,168.9840565602546,-0.9810767464735006,,0,0,,3.6811067593900924
